pipeline,category,method,dataset,architecture,feature_map,optimizer,model,noise_type,noise_level,clean_accuracy,noisy_accuracy,accuracy_drop,robustness_score,instability,notes
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + svm_rbf,,,,classical_only,svm_rbf,multi_noise,,0.9866666666666667,0.9866666666666667,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + extra_trees,,,,classical_only,extra_trees,multi_noise,,0.9866666666666667,0.9866666666666667,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + svm_rbf,,,,fusion_noise_augmented,svm_rbf,multi_noise,,0.9866666666666667,0.985,,,,Fusion of classical input features and quantum-derived multi-observable features.
noise_augmented_readout_hqnn,noise-augmented readout,multi_noise_feature_fusion + gradient_boosting,,,,multi_noise_feature_fusion,gradient_boosting,multi_noise,,0.9733333333333334,0.9733333333333334,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + random_forest,,,,classical_only,random_forest,multi_noise,,0.9733333333333334,0.9733333333333334,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + gradient_boosting,,,,classical_only,gradient_boosting,multi_noise,,0.9733333333333334,0.9733333333333334,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_clean_train + svm_rbf,,,,fusion_clean_train,svm_rbf,multi_noise,,0.98,0.9733333333333333,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + gradient_boosting,,,,fusion_noise_augmented,gradient_boosting,multi_noise,,0.9733333333333334,0.97,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + extra_trees,,,,fusion_noise_augmented,extra_trees,multi_noise,,0.9533333333333334,0.9683333333333334,,,,Fusion of classical input features and quantum-derived multi-observable features.
dual_loss_multi_observable_hqnn,noise-aware optimization,stability_regularized + multi_observable_random_forest,,linear,,stability_regularized,multi_observable_random_forest,depolarizing,0.05,0.96,0.96,0.0,1.0,,Dual-loss/stability-regularized multi-observable HQNN.
noise_augmented_readout_hqnn,noise-augmented readout,multi_noise_feature_fusion + random_forest,,,,multi_noise_feature_fusion,random_forest,multi_noise,,0.9466666666666667,0.96,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_clean_train + gradient_boosting,,,,fusion_clean_train,gradient_boosting,multi_noise,,0.9666666666666667,0.96,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + random_forest,,,,fusion_noise_augmented,random_forest,multi_noise,,0.96,0.9566666666666667,,,,Fusion of classical input features and quantum-derived multi-observable features.
multichannel_flagship_validation,multichannel validation,phase_flip + random_forest,,linear,,,random_forest,phase_flip,0.05,0.9533333333333334,0.9533333333333334,0.0,1.0,,Flagship configuration validated across multiple noise channels.
